X,Y,Z
5.767167000000000698e+05,5.188190650000000373e+06,1.630699999999999932e+02
5.767175500000000466e+05,5.188189600000000559e+06,1.631299999999999955e+02
5.767183900000000140e+05,5.188188669999999925e+06,1.630600000000000023e+02
5.767223800000000047e+05,5.188183969999999739e+06,1.630000000000000000e+02
5.767232099999999627e+05,5.188183020000000484e+06,1.629200000000000159e+02
5.767240899999999674e+05,5.188182070000000298e+06,1.628100000000000023e+02
5.767249699999999721e+05,5.188181120000000112e+06,1.626599999999999966e+02
5.767258699999999953e+05,5.188180060000000522e+06,1.626299999999999955e+02
5.767267299999999814e+05,5.188179080000000075e+06,1.625900000000000034e+02
5.767275999999999767e+05,5.188178089999999851e+06,1.625500000000000114e+02
5.767284699999999721e+05,5.188177089999999851e+06,1.624699999999999989e+02
5.767293399999999674e+05,5.188176110000000335e+06,1.624099999999999966e+02
5.767302700000000186e+05,5.188175100000000559e+06,1.623199999999999932e+02
5.767310799999999581e+05,5.188174080000000075e+06,1.623400000000000034e+02
5.767320200000000186e+05,5.188173089999999851e+06,1.622199999999999989e+02
5.767329100000000326e+05,5.188172060000000522e+06,1.621599999999999966e+02
5.767338900000000140e+05,5.188170980000000447e+06,1.620500000000000114e+02
5.767371300000000047e+05,5.188167389999999665e+06,1.617000000000000171e+02
5.767380999999999767e+05,5.188166330000000075e+06,1.615500000000000114e+02
5.767390600000000559e+05,5.188165270000000484e+06,1.614399999999999977e+02
5.767399799999999814e+05,5.188164160000000149e+06,1.614600000000000080e+02
5.767410100000000093e+05,5.188163080000000075e+06,1.613000000000000114e+02
5.767420400000000373e+05,5.188161959999999963e+06,1.611200000000000045e+02
5.767429400000000605e+05,5.188160910000000149e+06,1.611299999999999955e+02
5.767439300000000512e+05,5.188159790000000037e+06,1.610200000000000102e+02
5.767450300000000279e+05,5.188158650000000373e+06,1.608000000000000114e+02
5.767148000000000466e+05,5.188192820000000298e+06,1.630600000000000023e+02
5.767157399999999907e+05,5.188191709999999963e+06,1.630900000000000034e+02
5.767165400000000373e+05,5.188190740000000224e+06,1.630600000000000023e+02
5.767173399999999674e+05,5.188189759999999776e+06,1.631400000000000148e+02
5.767183000000000466e+05,5.188188679999999702e+06,1.630500000000000114e+02
5.767220100000000093e+05,5.188184270000000484e+06,1.630300000000000011e+02
5.767228699999999953e+05,5.188183310000000522e+06,1.629500000000000171e+02
5.767237399999999907e+05,5.188182370000000112e+06,1.628300000000000125e+02
5.767246199999999953e+05,5.188181410000000149e+06,1.627100000000000080e+02
5.767254799999999814e+05,5.188180419999999925e+06,1.626500000000000057e+02
5.767263399999999674e+05,5.188179440000000410e+06,1.626200000000000045e+02
5.767271900000000605e+05,5.188178440000000410e+06,1.625800000000000125e+02
5.767280700000000652e+05,5.188177459999999963e+06,1.625000000000000000e+02
5.767289400000000605e+05,5.188176450000000186e+06,1.624500000000000171e+02
5.767298499999999767e+05,5.188175480000000447e+06,1.623499999999999943e+02
5.767307199999999721e+05,5.188174469999999739e+06,1.623100000000000023e+02
5.767316300000000047e+05,5.188173370000000112e+06,1.622700000000000102e+02
5.767325500000000466e+05,5.188172389999999665e+06,1.621800000000000068e+02
5.767334599999999627e+05,5.188171350000000559e+06,1.620999999999999943e+02
5.767362099999999627e+05,5.188168290000000037e+06,1.618199999999999932e+02
5.767373100000000559e+05,5.188167089999999851e+06,1.616500000000000057e+02
5.767383000000000466e+05,5.188166020000000484e+06,1.615000000000000000e+02
5.767392299999999814e+05,5.188164959999999963e+06,1.614500000000000171e+02
5.767401400000000140e+05,5.188163919999999925e+06,1.614300000000000068e+02
5.767411400000000140e+05,5.188162810000000522e+06,1.612700000000000102e+02
5.767421700000000419e+05,5.188161709999999963e+06,1.611299999999999955e+02
5.767430999999999767e+05,5.188160639999999665e+06,1.610999999999999943e+02
5.767440799999999581e+05,5.188159540000000037e+06,1.610099999999999909e+02
5.767139500000000698e+05,5.188193770000000484e+06,1.630200000000000102e+02
5.767149100000000326e+05,5.188192600000000559e+06,1.630399999999999920e+02
5.767157299999999814e+05,5.188191620000000112e+06,1.630800000000000125e+02
5.767165300000000279e+05,5.188190650000000373e+06,1.630800000000000125e+02
5.767173399999999674e+05,5.188189669999999925e+06,1.631500000000000057e+02
5.767181500000000233e+05,5.188188719999999739e+06,1.630699999999999932e+02
5.767218000000000466e+05,5.188184410000000149e+06,1.630399999999999920e+02
5.767227299999999814e+05,5.188183360000000335e+06,1.629699999999999989e+02
5.767236099999999860e+05,5.188182419999999925e+06,1.628499999999999943e+02
5.767244899999999907e+05,5.188181450000000186e+06,1.627299999999999898e+02
5.767253599999999860e+05,5.188180480000000447e+06,1.626599999999999966e+02
5.767262399999999907e+05,5.188179450000000186e+06,1.626200000000000045e+02
5.767270999999999767e+05,5.188178459999999963e+06,1.625800000000000125e+02
5.767279599999999627e+05,5.188177469999999739e+06,1.625099999999999909e+02
5.767288499999999767e+05,5.188176450000000186e+06,1.624600000000000080e+02
5.767297600000000093e+05,5.188175480000000447e+06,1.623600000000000136e+02
5.767306300000000047e+05,5.188174469999999739e+06,1.623199999999999932e+02
5.767315000000000000e+05,5.188173450000000186e+06,1.622899999999999920e+02
5.767324100000000326e+05,5.188172440000000410e+06,1.621899999999999977e+02
5.767333200000000652e+05,5.188171410000000149e+06,1.621100000000000136e+02
5.767343599999999860e+05,5.188170219999999739e+06,1.620200000000000102e+02
5.767372600000000093e+05,5.188167040000000037e+06,1.616599999999999966e+02
5.767382500000000000e+05,5.188165980000000447e+06,1.615099999999999909e+02
5.767392299999999814e+05,5.188164860000000335e+06,1.614500000000000171e+02
5.767401500000000233e+05,5.188163820000000298e+06,1.614099999999999966e+02
5.767411400000000140e+05,5.188162709999999963e+06,1.612700000000000102e+02
5.767421700000000419e+05,5.188161610000000335e+06,1.611200000000000045e+02
5.767430799999999581e+05,5.188160540000000037e+06,1.610999999999999943e+02
5.767440899999999674e+05,5.188159419999999925e+06,1.609699999999999989e+02
5.767139899999999907e+05,5.188193629999999888e+06,1.630200000000000102e+02
5.767150600000000559e+05,5.188192299999999814e+06,1.630900000000000034e+02
5.767158699999999953e+05,5.188191330000000075e+06,1.630900000000000034e+02
5.767167299999999814e+05,5.188190310000000522e+06,1.630900000000000034e+02
5.767175300000000279e+05,5.188189350000000559e+06,1.631200000000000045e+02
5.767210100000000093e+05,5.188185200000000186e+06,1.631500000000000057e+02
5.767219599999999627e+05,5.188184150000000373e+06,1.630399999999999920e+02
